selftest: 2026-08-01T12:52:09Z	happy
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
selftest: 2026-08-01T12:52:44Z	attribution
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
selftest: 2026-08-01T12:54:21Z	attribution
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
selftest: 2026-08-01T12:55:22Z	falsifiable
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T12:55:43Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T12:58:49Z	bundle
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
selftest: 2026-08-01T12:59:53Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T13:02:28Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T15:02:38Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T15:23:51Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T15:36:49Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T16:35:17Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T16:49:49Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T17:05:50Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T17:21:55Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T22:35:06Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-01T23:12:03Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
fetch	attribution	pass	advance/stale-base — nothing transferred, strict clause holds
bundle	hygiene	pass	bundle-unsafe-path
bundle	hygiene	pass	bundle-absent
bundle	hygiene	pass	bundle-invalid
bundle	hygiene	pass	resource-cap
fetch	falsifiable	pass	object-count clause red on the restored second hop; refs clause blind
selftest: 2026-08-02T00:41:48Z	all
fetch	happy	pass	four stages, one canonical ref advanced
bundle	happy	pass	four stages, one canonical ref advanced
fetch	attribution	pass	conform/undeclared-path, harvest passed before it
fetch	attribution	pass	verify/suite-failed
fetch	attribution	pass	verify/verify-timeout — the PHASE-02 status mapped to its token
