mem_019f9effcf4a7922b31c1a1b37841d06	mem.pattern.dispatch.half-arm-unprovable-fork	KEEP	no 	never-arose — 	high
mem_019f97fcb93c79708c23b4c351f7633a	mem.pattern.dispatch.admit-fix-on-top-not-supersede	KEEP	no 	never-arose — 	high
mem_019f97fcf4187f728781f46e3f968c15	mem.fact.dispatch.integrate-projects-authored-corpus	KEEP	no 	never-arose — 	high
mem_019f931c291b7291aa0a4a88790b8403	mem.pattern.dispatch.stale-bundle-id-collision-reseat-trunk-side	KEEP	no 	never-arose — 	high
mem_019f9433d43d7bc186f5de9e2214f3b4	mem.pattern.dispatch.integrate-needs-close-target-first	KEEP	no 	never-arose — 	high
mem_019f8fc78f7d71f0bfa522944a6f60f6	mem.fact.git.common-dir-not-coord-root	KEEP	no 	never-arose — 	high
mem_019f88d31a457dd3b3af6281a2d2dfb0	mem.pattern.git.materialise-conflict-into-linked-worktree	KEEP	no 	never-arose — 	high
mem_019f738d55707ed1a1204bd6288bf7db	mem.pattern.audit.dispatched-slice-surface-split	KEEP	no 	never-arose — 	high
mem_019f73cc602f7061a5ac40a9ae0cc299	mem.pattern.dispatch.close-worktree-needs-derived-assets-and-runtime-state	KEEP	no 	never-arose — 	high
mem_019f73cd077e70209fa08a9d739af0e4	mem.pattern.dispatch.fixnow-stranded-detected-by-conformance-undelivered	KEEP	no 	never-arose — 	high
mem_019f6e106e707f53b1b1cfb3a23ddb3d	mem.pattern.doctrine.audit-dispatched-slice-surface	KEEP	no 	never-arose — 	high
mem_019f6e3a108b78c1b0da16871feb9a40	mem.pattern.dispatch.close-split-lineage-reconcile-on-edge	KEEP	no 	never-arose — 	high
mem_019f4fe7171e7612ab9e0a92632f9555	mem.fact.dispatch.prepare-review-reads-primary-phase-status	AMEND	par	rediscovered (	high
mem_019f4c64e65574238b7026f7301c8a2c	mem.pattern.doctrine.audit-dispatched-slice-fresh-worktree	KEEP	no 	never-arose — 	high
mem_019f34fec5777b81803e17caf115eca0	mem.pattern.dispatch.worker-commit-stale-path-false-red	KEEP	no 	never-arose — 	medium
mem_019f35b3a7db76e38405b4a2409f40c1	mem.pattern.dispatch.confined-orchestrator-placement-not-permission	RETIRE	yes	never-arose — 	high
mem_019f36028bca7411b33fde4981aaba85	mem.fact.claude.workflow-strips-agent-tool	KEEP	no 	never-arose — 	high
mem_019f361983617d529a054e52617c5f55	mem.fact.claude.workflow-leaf-cannot-commit	KEEP	no 	never-arose — 	high
mem_019f363b08cc7221a624308e3fc24844	mem.fact.claude.subagentstart-fires-from-child-session	KEEP	no 	never-arose — 	high
mem_019f36401beb76338b9eda2112f592b1	mem.fact.claude.jail-ro-git-is-bwrap-wrap-passthrough-commits	KEEP	no 	never-arose — 	medium
mem_019f364eb2a57182ba03db7b767f3470	mem.fact.claude.subagentstart-fires-nested-no-parent-discriminator	KEEP	no 	never-arose — 	high
mem_019f364ec31e7391a9301a59db797703	mem.fact.dispatch.confined-orchestrator-nested-worker-machinery-works	KEEP	no 	never-arose — 	medium
mem_019f367068b477d2a78d8c1d8c3dedb4	mem.fact.claude.pretooluse-agent-carries-spawner-id	KEEP	no 	never-arose — 	high
mem_019f36a33f4a7573a5882d6a599e5b73	mem.fact.dispatch.unjail-nomination-round-trip	KEEP	no 	never-arose — 	medium
mem_019f376ddf9e7a618bbe453c73c66989	mem.fact.dispatch.armed-workflow-worker-mode-b-viable	KEEP	no 	never-arose — 	high
mem_019f376e2f6b7571af71290f8ea994c2	mem.fact.dispatch.worker-commit-gate-stale-baked-binaries	KEEP	no 	never-arose — 	high
mem_019f37c54b487942b96723d29087af1c	mem.pattern.dispatch.mcp-import-lands-object-db-coord-tree-stale	KEEP	no 	never-arose — 	high
mem_019f3161168a79e3ac628ed1c2415b55	mem.fact.claude.frontmatter-isolation-honored-nested	KEEP	no 	never-arose — 	high
mem_019f3161172574d28239642cf0260cff	mem.fact.dispatch.confined-orchestrator-driveloop-realizable	RETIRE	yes	never-arose — 	high
mem_019f3192ac977941b8ccd85c4d8aaa0c	mem.concept.dispatch.funnel-arm-unification-boundary	KEEP	no 	never-arose — 	high
mem_019f328ad54c70318abc6f7e1db767fc	mem.fact.workflow.agent-worktree-fires-create-fork-hook	KEEP	no 	never-arose — 	high
mem_019f328afa7e7283a4b522399e2453d3	mem.fact.dispatch.mcp-stdio-shim-breaks-fork-servers	KEEP	no 	never-arose — 	high
mem_019f328b116a7172ba7eabef25ed979d	mem.fact.workflow.isolated-fork-reaches-doctrine-mcp	RETIRE	yes	never-arose — 	medium
mem_019f328b27f27f42a7f410d0aadb091e	mem.fact.workflow.no-live-escalation-channel-from-worker	KEEP	no 	never-arose — 	high
